ID,meranaw_proverb,literal_translation_meranaw,english_translation,interpretation,augmented_interpretation,Theme
212,"Sa di thamok sa banta na di maka ndatomanong, na sa di manganiyaya na di maped ko bolawan.","O di ka pananamokan sa piyamanekhaw odi na piyang-alampas na di ka maped ko bolawan a tamok.
Aya maana ini na di ka phananamokan sa bolawan o ba piyamanekhaw odi na piyang-aniyaya ka mipsendit ka ko 
kokoman o manosiya ago so kokoman o Allah SWT.","If the only option to get gold and silver is to steal and cheat, don't steal or cheat because you 
will be held accountable by the law and Allah SWT",A direct moral and religious teaching on honesty and justice: material gain at the expense of ethics leads to divine and legal punishment.,A straightforward moral and religious teaching about being honest and fair: getting rich by being unethical will lead to punishment from God and the law.,"Moral Teaching and Self
-Reflection"
213,"An a sobra lawan a pephagasad-asaden na tiyago ko ladiya na da on bo maka peno, na tiyakes ko rataran na da on maka daladap, 
na tiyangel ko kaloda na da on pen maka peno, na tiyago ko saridot ka oba roron manda-it na da niyan pen marames.","Aden a taw a di den kao-onsran odi ambog ka maka lelebi kon ko langowan taman a di so manga 
ped iyan –na tepngan ko kanggalbek sa mapiya na da a miya paki ilay niyan odi na kenaba piyur a mapasang","Pretenders claim to be the greatest of the best, but they can't afford to do a single good deed.","Condemns boastfulness without action. True greatness is shown through deeds, not empty words.","Says it's wrong to brag if you don't do anything. Real greatness is shown by what you do, not just what you say.","Moral Teaching and Self
-Reflection"
214,Anda i inambar o taw na aya den kalabo-an.,"Sa den sa pinggalbek o taw na aya niyan den khailay sii sa Yaumul Qiyamah o mapiya na so Sorga, na o marata na so 
Naraka Jahannam.","What one has done determines how much he will earn—Paradise for good deeds, and hellfire 
for bad actions.",Your afterlife is determined by your deeds—rewarded with Heaven or punished with Hell.,What you do in this life decides what happens to you in the afterlife—you'll be rewarded with Heaven or punished with Hell.,Death Sermon
215,Anda i piyamaroraw na aya kabarantanan.,Sa den sa miya nggalbek ka marata antaa ka mapiya na khailay ngka den so pantag iyan,What you've done (good or bad) will be rewarded correspondingly.,You reap what you sow; divine justice is exact and fair.,You get what you give; God's justice is precise and fair.,Death Sermon
216,An a manik o an a manog.,Aden a limo o aden a ini pangalimo.,You will receive exactly what you offer,"Your actions reflect your worth and determine your fate, both in this life and the next.","What you do shows how valuable you are and decides what happens to you, both now and after death.",Death Sermon
217,Mapiya pen bolawan i oran sa di ta inged na maphag-iroy ta den so tarintik sa ngganatan.,"Mapiya i kapipiya ginawa, kaso-sorot, ago sokatan ko kena o ba ta inged na ngganatan ta bo ka pembalingan ta ko 
tithow a inged ta. Lagid o doniya a mapiya i kiya paka daya on o taw na mbaling bo sekaniyan sa Yaumul Qiyamah.","No matter how convenient or successful a foreign place is, there will come a time when it is 
time to return home. It will be the same as the Hereafter's home.","Just as one eventually returns home from distant lands, every soul must return to its eternal home—the afterlife. Earth is temporary; the Hereafter is 
permanent.","Just like people eventually go back home from far away places, every soul will return to its forever home—the afterlife. This world is temporary; the next is forever.",Death Sermon
218,Ba den man ari sagad so kintay na kakal so pimbasokan.,So kawiyagoyag na baden sagad ko doniya na aya khatatap na so miya pasad a 'amal a di mipembelag o manosiya,"Life is too temporary, but one’s deeds (good or bad) are permanent.","Life fades quickly, but your actions outlast you and define your legacy and your judgment.","Life goes by fast, but what you do stays behind and decides how you're remembered and judged.",Death Sermon
219,O migadong si ropa na aya den si ropindo.,Mapiya di maka dadarpa na katii ako.,One is the other's alter ego,"This may reflect the duality of the self—perhaps the inner soul and the outward self, or the contrast between worldly self and spiritual self.","This might show that we have two sides—maybe our inner soul and how we act outwardly, or the difference between our earthly desires and our spiritual side.",Death Sermon
220,"Maolay bo so gadong na magendod sa ngganatan, na maronot so rambayong na mbaling sa tharikhodan.","Mapiya di matay a sakit so taw, na ngkaya den i kalokes iyan na magiyog sa magenda na magendod sa Yammul Qiyamah.","It is possible that one will not die of illness, but rather of old age.",Not all death comes from suffering—some comes quietly with time. The point is that death is inevitable.,Not everyone dies in pain—some people die peacefully with old age. The important thing is that everyone will die.,Death Sermon
221,"Pagonayan so alam a sapolo rasay ta on na di ta maraw ganatan ka kina- layaman a dar, na dalsan so mahloq a siyaw sansara ta on a 
di maraw talikhodan ka pithagamanan a siri.",Mapiya i karomasayan o manosiya ko doniya na di niyan kharawan gomanat.,"Man is suffering from the violence of this world and yet does not want to leave it when asked. Or 
we try very hard even though it is difficult to improve ourselves, but in the end, everything will 
end when death claims you. The world is deceiving, but it is difficult to give up.","We suffer in this world, yet cling to it. We strive to become better despite hardship, but death ends all struggle. The world offers illusions, yet we resist 
letting go.","We have problems in this life, but we still hold on to it. We try to be better even when things are hard, but death stops all our efforts. The world tricks us, but we don't want to let go of it.",Death Sermon
